2024-05-29 13:46:41.823 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:46:44.506 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 13:46:44.506 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:47:15.426 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:47:15.430 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 13:47:15.430 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:47:45.864 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:47:45.894 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 13:47:45.894 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:50:21.458 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:50:21.506 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 13:50:21.506 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:54:20.827 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:54:20.871 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 13:54:20.871 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:54:57.094 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:54:57.096 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 13:54:57.096 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:55:55.915 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 13:55:55.951 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 13:55:55.951 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:27:47.507 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:27:48.543 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:27:48.544 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:28:39.971 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:28:40.031 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:28:40.032 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:31:19.667 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:31:19.706 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:31:19.706 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:33:41.657 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:33:41.675 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:33:41.675 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:34:54.991 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:34:55.008 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:34:55.008 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:35:08.532 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:35:08.555 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:35:08.555 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:35:50.365 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:35:50.378 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:35:50.378 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:39:54.064 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:39:54.147 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:39:54.147 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:45:44.175 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:45:44.298 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:45:44.298 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:47:22.469 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:47:22.495 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:47:22.495 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:51:38.074 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:51:38.085 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:51:38.085 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:51:48.663 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:51:48.665 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:51:48.665 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:52:25.260 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:52:25.276 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:52:25.276 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:53:22.123 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:53:22.138 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:53:22.138 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:54:34.318 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 19:54:34.337 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 19:54:34.338 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:14:55.558 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:14:55.787 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:14:55.787 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:15:45.238 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:15:45.281 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:15:45.281 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:16:10.570 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:16:10.587 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:16:10.587 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:19:20.566 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:19:20.767 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:19:20.767 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:19:25.235 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:19:25.248 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:19:25.248 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:21:17.264 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:21:17.286 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:21:17.287 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:22:12.735 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:22:12.756 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:22:12.756 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:24:38.975 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:24:39.161 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:24:39.162 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:27:14.464 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:27:14.670 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:27:14.670 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:51:23.598 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-29 20:51:24.622 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-29 20:51:24.688 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-29 20:51:24.694 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-05-29 20:52:41.712 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:52:41.917 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:52:41.917 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:52:49.044 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:52:49.062 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:52:49.062 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:52:51.367 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:52:51.369 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:52:51.369 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:55:33.922 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:55:36.400 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:55:36.400 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:57:05.554 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:57:24.098 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:57:24.099 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:58:05.737 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:58:10.133 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:58:10.133 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:58:25.723 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 20:58:34.390 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 20:58:34.390 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:00:14.356 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:00:14.408 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:00:14.408 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:01:09.981 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:01:09.992 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:01:09.992 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:01:23.217 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:01:23.235 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:01:23.235 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:01:44.898 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:01:45.073 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:01:45.073 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:02:05.499 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:02:05.504 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:02:05.504 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:02:08.026 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:02:08.028 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:02:08.028 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:02:51.015 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:02:51.201 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:02:51.202 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:03:32.048 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:03:32.065 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:03:32.065 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:05:35.468 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:05:35.483 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:05:35.483 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:05:49.427 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:05:49.441 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:05:49.441 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:06:15.980 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:06:15.993 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:06:15.993 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:15:46.816 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:15:46.913 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:15:46.914 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:18:05.734 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:18:35.607 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:18:35.607 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:18:40.844 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:18:44.933 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:18:44.933 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:19:01.339 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:19:01.359 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:19:01.359 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:22:31.313 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:22:31.493 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:22:31.493 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:22:47.774 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-29 21:22:53.841 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-29 21:22:53.850 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-29 21:22:53.855 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-05-29 21:22:54.114 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:22:54.117 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:22:54.117 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:27:58.012 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:27:58.024 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:27:58.024 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:28:16.734 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:28:16.735 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-29 21:28:16.735 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-29 21:28:29.290 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-29 21:28:29.290 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-29 21:28:29.292 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-29 21:28:29.294 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-05-29 21:28:30.874 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
